COGNOME;NOME;DATA NASCITA (gg/mm/aaaa);LUOGO NASCITA;PROVINCIA NASCITA;DATA FINE CONTROLLO (gg/mm/aaaa);ENTE DI APPARTENENZA;RUOLO
GUIDI;ANTONIO;13/06/1945;ROMA ;RM;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GUIDOLIN;BARBARA;21/09/1975;BASSANO DEL GRAPPA ;VI;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
GUSMEROLI;ALBERTO LUIGI;27/02/1961;VARESE;VA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IACONO;GIOVANNA;14/06/1983;AGRIGENTO;AG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IAIA;DARIO;20/11/1973;FRANCAVILLA FONTANA ;BR;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IANNONE;ANTONIO;18/09/1975;TORRE DEL GRECO ;NA;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
IARIA;ANTONINO;27/12/1970;CONDOFURI ;RC;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IEZZI;IGOR;18/01/1975;MILANO;MI;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
IRTO;NICOLA;05/01/1982;REGGIO CALABRIA;RC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
KELANY;SARA;08/06/1978;FORMIA ;LT;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
KOMPATSCHER;ARNO;19/03/1971;FIE' ALLO SCILIAR;BZ;31/12/2030;PROVINCIA AUTONOMA BOLZANO;PRESIDENTE
LA MARCA;FRANCESCA;03/10/1975;CANADA;;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LA PIETRA;PATRIZIO GIACOMO;10/04/1961;PISTOIA;PT;31/12/2030;Ministero dell'Agricoltura, della Sovranità alimentare e delle Foreste;SOTTOSEGRETARIO DI STATO
LA PIETRA;PATRIZIO GIACOMO;10/04/1961;PISTOIA;PT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LA PORTA;CHIARA;07/06/1991;PRATO;PO;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LA RUSSA;IGNAZIO;18/07/1947;PATERNO';CT;31/12/2030;SENATO DELLA REPUBBLICA;PRESIDENTE
LA RUSSA;IGNAZIO;18/07/1947;PATERNO';CT;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LA SALANDRA;GIANDONATO;29/09/1978;FOGGIA;FG;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
L'ABBATE;ABBATE PATTY;02/05/1966;POLIGNANO A MARE ;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LACARRA;MARCO;04/08/1962;BARI;BA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LAI;SILVIO;20/07/1966;SASSARI;SS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LAMPIS;GIANNI;31/05/1988;CAGLIARI;CA;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LANCELLOTTA;ELISABETTA CHRISTIANA;02/03/1979;ISERNIA;IS;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LATINI;GIORGIA;18/04/1980;FABRIANO ;AN;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LAUS;MAURO ANTONIO DONATO;07/08/1966;LAVELLO ;PZ;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LAZZARINI;ARIANNA;06/03/1976;MONSELICE ;PD;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LEO;MAURIZIO;25/07/1955;ROMA;RM;31/12/2030;CAMERA DEI DEPUTATI;DEPUTATO
LEONARDI;ELENA;03/05/1975;RECANATI ;MC;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
LICHERI;ETTORE ANTONIO;11/10/1963;SASSARI;SS;31/12/2030;SENATO DELLA REPUBBLICA;SENATORE
